,VALID_RATIO,PROPERTY,IMPROVEMENT,SIMILARITY,NOVELTY,SUCCESS,SUCCESS_WO_NOVEL,DIVERSITY,THRESHOLD_SIMILARITY
MTMR,0.94125,1.32071120665434,3.792244158581811,0.36690746057685536,0.94125,0.44625,0.44625,0.4405737810945743,0.4
MTMR,0.94125,1.32071120665434,3.792244158581811,0.36690746057685536,0.94125,0.37,0.37,0.4405737810945743,0.45
MTMR,0.94125,1.32071120665434,3.792244158581811,0.36690746057685536,0.94125,0.2775,0.2775,0.4405737810945743,0.5
MTMR,0.94125,1.32071120665434,3.792244158581811,0.36690746057685536,0.94125,0.1775,0.1775,0.4405737810945743,0.55
MTMR,0.94125,1.32071120665434,3.792244158581811,0.36690746057685536,0.94125,0.08375,0.08375,0.4405737810945743,0.6
MTMR,0.94125,1.32071120665434,3.792244158581811,0.36690746057685536,0.94125,0.0375,0.0375,0.4405737810945743,0.65
MTMR,0.94125,1.32071120665434,3.792244158581811,0.36690746057685536,0.94125,0.0075,0.0075,0.4405737810945743,0.7
VJTNN,0.82625,0.7682002605952786,2.7715428676462928,0.3988034265746704,0.825,0.26125,0.26125,0.39662217648524306,0.4
VJTNN,0.82625,0.7682002605952786,2.7715428676462928,0.3988034265746704,0.825,0.19875,0.19875,0.39662217648524306,0.45
VJTNN,0.82625,0.7682002605952786,2.7715428676462928,0.3988034265746704,0.825,0.14375,0.14375,0.39662217648524306,0.5
VJTNN,0.82625,0.7682002605952786,2.7715428676462928,0.3988034265746704,0.825,0.09625,0.09625,0.39662217648524306,0.55
VJTNN,0.82625,0.7682002605952786,2.7715428676462928,0.3988034265746704,0.825,0.055,0.055,0.39662217648524306,0.6
VJTNN,0.82625,0.7682002605952786,2.7715428676462928,0.3988034265746704,0.825,0.02875,0.02875,0.39662217648524306,0.65
VJTNN,0.82625,0.7682002605952786,2.7715428676462928,0.3988034265746704,0.825,0.01,0.01,0.39662217648524306,0.7
VJTNN+GAN,0.85875,0.8713877085732569,3.0371502486421678,0.39582574385433067,0.85875,0.305,0.305,0.3960680022311617,0.4
VJTNN+GAN,0.85875,0.8713877085732569,3.0371502486421678,0.39582574385433067,0.85875,0.235,0.23625,0.3960680022311617,0.45
VJTNN+GAN,0.85875,0.8713877085732569,3.0371502486421678,0.39582574385433067,0.85875,0.18375,0.185,0.3960680022311617,0.5
VJTNN+GAN,0.85875,0.8713877085732569,3.0371502486421678,0.39582574385433067,0.85875,0.11375,0.115,0.3960680022311617,0.55
VJTNN+GAN,0.85875,0.8713877085732569,3.0371502486421678,0.39582574385433067,0.85875,0.07875,0.07875,0.3960680022311617,0.6
VJTNN+GAN,0.85875,0.8713877085732569,3.0371502486421678,0.39582574385433067,0.85875,0.03625,0.03625,0.3960680022311617,0.65
VJTNN+GAN,0.85875,0.8713877085732569,3.0371502486421678,0.39582574385433067,0.85875,0.01,0.01,0.3960680022311617,0.7
CORE,0.85875,0.8713877085732569,3.0371502486421678,0.39582574385433067,0.85875,0.305,0.305,0.3960680022311617,0.4
CORE,0.85875,0.8713877085732569,3.0371502486421678,0.39582574385433067,0.85875,0.235,0.23625,0.3960680022311617,0.45
CORE,0.85875,0.8713877085732569,3.0371502486421678,0.39582574385433067,0.85875,0.18375,0.185,0.3960680022311617,0.5
CORE,0.85875,0.8713877085732569,3.0371502486421678,0.39582574385433067,0.85875,0.11375,0.115,0.3960680022311617,0.55
CORE,0.85875,0.8713877085732569,3.0371502486421678,0.39582574385433067,0.85875,0.07875,0.07875,0.3960680022311617,0.6
CORE,0.85875,0.8713877085732569,3.0371502486421678,0.39582574385433067,0.85875,0.03625,0.03625,0.3960680022311617,0.65
CORE,0.85875,0.8713877085732569,3.0371502486421678,0.39582574385433067,0.85875,0.01,0.01,0.3960680022311617,0.7
HierG2G,0.825,0.7877733672003138,2.828205802330673,0.34370406149446864,0.825,0.20875,0.20875,0.37513500966289953,0.4
HierG2G,0.825,0.7877733672003138,2.828205802330673,0.34370406149446864,0.825,0.165,0.165,0.37513500966289953,0.45
HierG2G,0.825,0.7877733672003138,2.828205802330673,0.34370406149446864,0.825,0.12125,0.12125,0.37513500966289953,0.5
HierG2G,0.825,0.7877733672003138,2.828205802330673,0.34370406149446864,0.825,0.0725,0.0725,0.37513500966289953,0.55
HierG2G,0.825,0.7877733672003138,2.828205802330673,0.34370406149446864,0.825,0.04,0.04,0.37513500966289953,0.6
HierG2G,0.825,0.7877733672003138,2.828205802330673,0.34370406149446864,0.825,0.01875,0.01875,0.37513500966289953,0.65
HierG2G,0.825,0.7877733672003138,2.828205802330673,0.34370406149446864,0.825,0.0025,0.0025,0.37513500966289953,0.7
UGMMT,0.9173967459324155,1.0651954026556847,3.4806693239886393,0.1531849217649171,0.9173967459324155,0.0012515644555694619,0.0012515644555694619,0.22288291513059344,0.4
UGMMT,0.9173967459324155,1.0651954026556847,3.4806693239886393,0.1531849217649171,0.9173967459324155,0.0012515644555694619,0.0012515644555694619,0.22288291513059344,0.45
UGMMT,0.9173967459324155,1.0651954026556847,3.4806693239886393,0.1531849217649171,0.9173967459324155,0.0012515644555694619,0.0012515644555694619,0.22288291513059344,0.5
UGMMT,0.9173967459324155,1.0651954026556847,3.4806693239886393,0.1531849217649171,0.9173967459324155,0.0012515644555694619,0.0012515644555694619,0.22288291513059344,0.55
UGMMT,0.9173967459324155,1.0651954026556847,3.4806693239886393,0.1531849217649171,0.9173967459324155,0.0012515644555694619,0.0012515644555694619,0.22288291513059344,0.6
