,VALID_RATIO,PROPERTY,IMPROVEMENT,SIMILARITY,NOVELTY,SUCCESS,SUCCESS_WO_NOVEL,DIVERSITY,THRESHOLD_SIMILARITY
MTMR_00,0.608,0.011803284010427111,0.0073954225176862485,0.34749948878605436,0.608,0.001,0.001,0.40133455323189504,0.4
MTMR_00,0.608,0.011803284010427111,0.0073954225176862485,0.34749948878605436,0.608,0.001,0.001,0.40133455323189504,0.45
MTMR_00,0.608,0.011803284010427111,0.0073954225176862485,0.34749948878605436,0.608,0.001,0.001,0.40133455323189504,0.5
MTMR_00,0.608,0.011803284010427111,0.0073954225176862485,0.34749948878605436,0.608,0.001,0.001,0.40133455323189504,0.55
MTMR_00,0.608,0.011803284010427111,0.0073954225176862485,0.34749948878605436,0.608,0.001,0.001,0.40133455323189504,0.6
MTMR_00,0.608,0.011803284010427111,0.0073954225176862485,0.34749948878605436,0.608,0.001,0.001,0.40133455323189504,0.65
MTMR_00,0.608,0.011803284010427111,0.0073954225176862485,0.34749948878605436,0.608,0.0,0.0,0.40133455323189504,0.7
MTMR_01,0.589,0.011592754104661556,0.0071398951573953436,0.34213424901955486,0.589,0.0,0.0,0.39526816421664623,0.4
MTMR_01,0.589,0.011592754104661556,0.0071398951573953436,0.34213424901955486,0.589,0.0,0.0,0.39526816421664623,0.45
MTMR_01,0.589,0.011592754104661556,0.0071398951573953436,0.34213424901955486,0.589,0.0,0.0,0.39526816421664623,0.5
MTMR_01,0.589,0.011592754104661556,0.0071398951573953436,0.34213424901955486,0.589,0.0,0.0,0.39526816421664623,0.55
MTMR_01,0.589,0.011592754104661556,0.0071398951573953436,0.34213424901955486,0.589,0.0,0.0,0.39526816421664623,0.6
MTMR_01,0.589,0.011592754104661556,0.0071398951573953436,0.34213424901955486,0.589,0.0,0.0,0.39526816421664623,0.65
MTMR_01,0.589,0.011592754104661556,0.0071398951573953436,0.34213424901955486,0.589,0.0,0.0,0.39526816421664623,0.7
MTMR_10,0.99,0.06600770172720846,0.05935429842807577,0.43500896588033827,0.99,0.049,0.053,0.49284943230497824,0.4
MTMR_10,0.99,0.06600770172720846,0.05935429842807577,0.43500896588033827,0.99,0.037,0.039,0.49284943230497824,0.45
MTMR_10,0.99,0.06600770172720846,0.05935429842807577,0.43500896588033827,0.99,0.024,0.025,0.49284943230497824,0.5
MTMR_10,0.99,0.06600770172720846,0.05935429842807577,0.43500896588033827,0.99,0.019,0.019,0.49284943230497824,0.55
MTMR_10,0.99,0.06600770172720846,0.05935429842807577,0.43500896588033827,0.99,0.011,0.011,0.49284943230497824,0.6
MTMR_10,0.99,0.06600770172720846,0.05935429842807577,0.43500896588033827,0.99,0.005,0.005,0.49284943230497824,0.65
MTMR_10,0.99,0.06600770172720846,0.05935429842807577,0.43500896588033827,0.99,0.002,0.002,0.49284943230497824,0.7
MTMR_11,0.998,0.04561036539214022,0.03898458601240128,0.38957091916384984,0.998,0.032,0.035,0.4126140871521915,0.4
MTMR_11,0.998,0.04561036539214022,0.03898458601240128,0.38957091916384984,0.998,0.021,0.023,0.4126140871521915,0.45
MTMR_11,0.998,0.04561036539214022,0.03898458601240128,0.38957091916384984,0.998,0.012,0.013,0.4126140871521915,0.5
MTMR_11,0.998,0.04561036539214022,0.03898458601240128,0.38957091916384984,0.998,0.006,0.007,0.4126140871521915,0.55
MTMR_11,0.998,0.04561036539214022,0.03898458601240128,0.38957091916384984,0.998,0.0,0.001,0.4126140871521915,0.6
MTMR_11,0.998,0.04561036539214022,0.03898458601240128,0.38957091916384984,0.998,0.0,0.0,0.4126140871521915,0.65
MTMR_11,0.998,0.04561036539214022,0.03898458601240128,0.38957091916384984,0.998,0.0,0.0,0.4126140871521915,0.7
