,VALID_RATIO,PROPERTY,IMPROVEMENT,SIMILARITY,NOVELTY,SUCCESS,SUCCESS_WO_NOVEL,DIVERSITY,THRESHOLD_SIMILARITY
MTMR_00,1.0,0.734258757108353,0.7275875926880625,0.30879681900835554,1.0,0.372,0.381,0.5464277555392859,0.4
MTMR_00,1.0,0.734258757108353,0.7275875926880625,0.30879681900835554,1.0,0.239,0.245,0.5464277555392859,0.45
MTMR_00,1.0,0.734258757108353,0.7275875926880625,0.30879681900835554,1.0,0.148,0.15,0.5464277555392859,0.5
MTMR_00,1.0,0.734258757108353,0.7275875926880625,0.30879681900835554,1.0,0.08,0.08,0.5464277555392859,0.55
MTMR_00,1.0,0.734258757108353,0.7275875926880625,0.30879681900835554,1.0,0.042,0.042,0.5464277555392859,0.6
MTMR_00,1.0,0.734258757108353,0.7275875926880625,0.30879681900835554,1.0,0.019,0.019,0.5464277555392859,0.65
MTMR_00,1.0,0.734258757108353,0.7275875926880625,0.30879681900835554,1.0,0.005,0.005,0.5464277555392859,0.7
MTMR_01,0.998,0.7364928161975359,0.7298307262414706,0.29443438557482493,0.998,0.338,0.349,0.5455449563950424,0.4
MTMR_01,0.998,0.7364928161975359,0.7298307262414706,0.29443438557482493,0.998,0.205,0.211,0.5455449563950424,0.45
MTMR_01,0.998,0.7364928161975359,0.7298307262414706,0.29443438557482493,0.998,0.112,0.113,0.5455449563950424,0.5
MTMR_01,0.998,0.7364928161975359,0.7298307262414706,0.29443438557482493,0.998,0.053,0.053,0.5455449563950424,0.55
MTMR_01,0.998,0.7364928161975359,0.7298307262414706,0.29443438557482493,0.998,0.022,0.022,0.5455449563950424,0.6
MTMR_01,0.998,0.7364928161975359,0.7298307262414706,0.29443438557482493,0.998,0.009,0.009,0.5455449563950424,0.65
MTMR_01,0.998,0.7364928161975359,0.7298307262414706,0.29443438557482493,0.998,0.003,0.003,0.5455449563950424,0.7
MTMR_10,1.0,0.7309837967340737,0.7243126323137833,0.3095562555412292,0.999,0.388,0.401,0.523507217904488,0.4
MTMR_10,1.0,0.7309837967340737,0.7243126323137833,0.3095562555412292,0.999,0.241,0.247,0.523507217904488,0.45
MTMR_10,1.0,0.7309837967340737,0.7243126323137833,0.3095562555412292,0.999,0.144,0.147,0.523507217904488,0.5
MTMR_10,1.0,0.7309837967340737,0.7243126323137833,0.3095562555412292,0.999,0.068,0.068,0.523507217904488,0.55
MTMR_10,1.0,0.7309837967340737,0.7243126323137833,0.3095562555412292,0.999,0.039,0.039,0.523507217904488,0.6
MTMR_10,1.0,0.7309837967340737,0.7243126323137833,0.3095562555412292,0.999,0.015,0.015,0.523507217904488,0.65
MTMR_10,1.0,0.7309837967340737,0.7243126323137833,0.3095562555412292,0.999,0.007,0.007,0.523507217904488,0.7
MTMR_11,1.0,0.774455141171294,0.7677839767510032,0.3128273835272188,0.998,0.405,0.431,0.5527185506881638,0.4
MTMR_11,1.0,0.774455141171294,0.7677839767510032,0.3128273835272188,0.998,0.233,0.241,0.5527185506881638,0.45
MTMR_11,1.0,0.774455141171294,0.7677839767510032,0.3128273835272188,0.998,0.13,0.133,0.5527185506881638,0.5
MTMR_11,1.0,0.774455141171294,0.7677839767510032,0.3128273835272188,0.998,0.054,0.054,0.5527185506881638,0.55
MTMR_11,1.0,0.774455141171294,0.7677839767510032,0.3128273835272188,0.998,0.023,0.023,0.5527185506881638,0.6
MTMR_11,1.0,0.774455141171294,0.7677839767510032,0.3128273835272188,0.998,0.007,0.007,0.5527185506881638,0.65
MTMR_11,1.0,0.774455141171294,0.7677839767510032,0.3128273835272188,0.998,0.003,0.003,0.5527185506881638,0.7
