LOSS,REWARD,SIMILARITY,PROPERTY
0.03600255399942398,0.5391625761985779,0.6716017127037048,0.7943273186683655
0.0414024293422699,0.5314473509788513,0.6705642342567444,0.7982810735702515
0.04309069365262985,0.529134213924408,0.6411171555519104,0.7941820025444031
0.03874192759394646,0.5103365778923035,0.629814863204956,0.8003646731376648
0.044343944638967514,0.5102666616439819,0.6264402270317078,0.7956376075744629
0.0482511892914772,0.5469413995742798,0.622484028339386,0.801722526550293
0.05029802769422531,0.5535657405853271,0.6282598972320557,0.8054364323616028
0.04655933752655983,0.529189944267273,0.6213161945343018,0.8032548427581787
0.049358244985342026,0.5690909028053284,0.6067833304405212,0.806905210018158
0.05093257129192352,0.5891187191009521,0.6096552610397339,0.8148369193077087
0.04778970405459404,0.5684263706207275,0.6114068627357483,0.8133559823036194
0.05533269792795181,0.590923547744751,0.586854875087738,0.8187794089317322
0.05235172435641289,0.5885007977485657,0.592698335647583,0.8167235851287842
0.05248631164431572,0.6120341420173645,0.5813804268836975,0.8199604749679565
0.05404569208621979,0.6078587174415588,0.5941852927207947,0.8189835548400879
0.04950724169611931,0.6081421375274658,0.6077673435211182,0.8135486245155334
0.05396093800663948,0.6304983496665955,0.5753927826881409,0.8214660882949829
0.0549955777823925,0.6724063754081726,0.5604057908058167,0.8330373764038086
0.05571532994508743,0.6428305506706238,0.5772811770439148,0.8280652761459351
0.05515642836689949,0.6415420174598694,0.5724340081214905,0.8291915059089661
0.047452546656131744,0.6068965196609497,0.5915572643280029,0.8191139101982117
0.050375983119010925,0.6192831993103027,0.5568923354148865,0.819700300693512
0.05225919187068939,0.5958647727966309,0.5936591029167175,0.8159815073013306
0.056193068623542786,0.6346361041069031,0.5851215720176697,0.8259528279304504
0.05318577587604523,0.6257437467575073,0.5864222645759583,0.8227922916412354
0.05895756557583809,0.6788163781166077,0.5371333360671997,0.8391943573951721
0.05814293399453163,0.643721878528595,0.5680157542228699,0.8317428231239319
0.05403849482536316,0.6624833345413208,0.5547552108764648,0.8337938189506531
0.05428651347756386,0.661960244178772,0.5486065745353699,0.8315773010253906
0.05999385565519333,0.6671428084373474,0.5127447247505188,0.831782341003418
0.0567217692732811,0.6488247513771057,0.5543467998504639,0.8315596580505371
0.05735364556312561,0.6650967597961426,0.5431562662124634,0.8368174433708191
0.05710552632808685,0.6597646474838257,0.5688871741294861,0.8307378888130188
0.055326301604509354,0.6509494185447693,0.5611469745635986,0.8294875621795654
0.05559412017464638,0.6678506135940552,0.5561198592185974,0.8400354385375977
0.05751641467213631,0.6843323111534119,0.5519208908081055,0.8413537740707397
0.05107998102903366,0.6808171272277832,0.5639750361442566,0.8414527773857117
0.05868887901306152,0.689619779586792,0.5313072204589844,0.8402724862098694
0.06291516870260239,0.6918882727622986,0.5274689197540283,0.8381869792938232
0.057765524834394455,0.6858968734741211,0.5900056958198547,0.8316311836242676
0.05519993603229523,0.6712337136268616,0.5749474763870239,0.8295109868049622
0.05143985524773598,0.6639850735664368,0.5877248644828796,0.8277959823608398
0.05681811273097992,0.6573634147644043,0.5728799700737,0.8306067585945129
0.05758759751915932,0.7053021788597107,0.5583471655845642,0.8342669606208801
0.05770786479115486,0.7091402411460876,0.5600166320800781,0.8373553156852722
0.05655772611498833,0.7086567878723145,0.5495230555534363,0.8413671255111694
0.05783674865961075,0.7135390639305115,0.5391016006469727,0.8452269434928894
0.06250754743814468,0.7113136053085327,0.5469884276390076,0.8413651585578918
0.06021308898925781,0.7292564511299133,0.5632494688034058,0.8492767810821533
0.06146514043211937,0.7078372836112976,0.5457947254180908,0.8453772664070129
0.05768214166164398,0.6752449870109558,0.545155942440033,0.8413076996803284
0.05796661600470543,0.6887902617454529,0.5542972087860107,0.8385006785392761
0.05720707029104233,0.6772804260253906,0.557015597820282,0.8393501043319702
0.0573149211704731,0.692599356174469,0.5427955389022827,0.8365533947944641
0.05702250823378563,0.6490457653999329,0.5351375937461853,0.8290189504623413
0.05629793554544449,0.6651018857955933,0.5190346240997314,0.831436812877655
0.06050490587949753,0.6898801922798157,0.5288172364234924,0.8376061916351318
0.059652578085660934,0.7022426724433899,0.5161690711975098,0.8463068604469299
0.0618886798620224,0.6670216917991638,0.5389229655265808,0.8314917087554932
0.0623965784907341,0.6824795007705688,0.5317150354385376,0.8362894654273987
0.05576629936695099,0.6751168370246887,0.5468658804893494,0.8369948863983154
0.059853244572877884,0.6872437596321106,0.5493221879005432,0.8445714116096497
0.052418895065784454,0.6843504309654236,0.5599381327629089,0.8423489332199097
0.05697431042790413,0.6965876817703247,0.5217487215995789,0.845241129398346
0.06259848177433014,0.6867510676383972,0.5474190711975098,0.8401368260383606
0.05754311382770538,0.7047281265258789,0.538672685623169,0.843048632144928
0.058975089341402054,0.720077395439148,0.5186969637870789,0.849478006362915
0.05925662815570831,0.7180066704750061,0.5304664373397827,0.8391298055648804
0.05370829626917839,0.7003471851348877,0.5490735173225403,0.8428787589073181
